name,resource_id,resource_link,project_id,project_link,folder_name,related_projects,status,release_date,contact_name,contact_mail,masked_assemblies,assembly_id_alias,annotation_id_alias,annotations
Aspergillus appendiculatus CBS 374.75 Annotated Minimal Draft,Aspapp1,https://mycocosm.jgi.doe.gov/Aspapp1,1187929,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspappMinimDraft_FD,AspappMinimDraft_FD,"['SP 1188241', 'SP 1188242', 'AP 1187931', 'AP 1187932', 'AP 1187930']",Complete,2021-04-29,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspappMinimDraft_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspapp1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspapp1,Aspapp1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspappMinimDraft_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspapp1_GeneCatalog_20210409.gff3.gz
Aspergillus arachidicola CBS 117612 Annotated Standard Draft,Aspara19utr,https://mycocosm.jgi.doe.gov/Aspara19utr,1052230,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AsparaStandDraft_FD,AsparaStandDraft_FD,"['SP 1052231', 'SP 1052232', 'AP 1052235', 'AP 1052234', 'AP 1052233']",Complete,2016-08-25,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AsparaStandDraft_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspara19utr_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspara19utr,Aspara19utr,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AsparaStandDraft_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspara19utr_GeneCatalog_20160816.gff3.gz
Aspergillus arxii CBS 525.83 Annotated Minimal Draft,Asparx1,https://mycocosm.jgi.doe.gov/Asparx1,1097610,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AsparxMinimDraft_FD,AsparxMinimDraft_FD,"['SP 1097789', 'SP 1097788', 'AP 1097611', 'AP 1097613', 'AP 1097612']",Complete,2017-04-24,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AsparxMinimDraft_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Asparx1_AssemblyScaffolds_Repeatmasked.fasta.gz,Asparx1,Asparx1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AsparxMinimDraft_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Asparx1_GeneCatalog_20170407.gff3.gz
Aspergillus assulatus IBT 27911 Annotated Minimal Draft,Aspass1,https://mycocosm.jgi.doe.gov/Aspass1,1097514,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspassMinimDraft_FD,AspassMinimDraft_FD,"['SP 1097740', 'SP 1097741', 'AP 1097515', 'AP 1097516', 'AP 1097517']",Complete,2017-04-24,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspassMinimDraft_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspass1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspass1,Aspass1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspassMinimDraft_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspass1_GeneCatalog_20170407.gff3.gz
Aspergillus astellatus CBS 261.93 Annotated Standard Draft,Aspaste1,https://mycocosm.jgi.doe.gov/Aspaste1,1052026,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspastStandDraft_FD,AspastStandDraft_FD,"['SP 1052028', 'SP 1052027', 'AP 1052030', 'AP 1052031', 'AP 1052029']",Complete,2016-03-15,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspastStandDraft_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspaste1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspaste1,Aspaste1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspastStandDraft_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspaste1_GeneCatalog_20160412.gff3.gz
Aspergillus aurantiobrunneus CBS 465.65 Annotated Standard Draft,Aspaura1,https://mycocosm.jgi.doe.gov/Aspaura1,1052032,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspaurStandDraft_2_FD,AspaurStandDraft_2_FD,"['SP 1052033', 'SP 1052034', 'AP 1052036', 'AP 1052037', 'AP 1052035']",Complete,2014-09-24,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspaurStandDraft_2_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspaura1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspaura1,Aspaura1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspaurStandDraft_2_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspaura1_GeneCatalog_20160412.gff3.gz
Aspergillus aurantiopurpureus CBS 140608 Annotated Minimal Draft,Aspauran1,https://mycocosm.jgi.doe.gov/Aspauran1,1188069,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspaurMinimDraft_4_FD,AspaurMinimDraft_4_FD,"['SP 1188312', 'SP 1188311', 'AP 1188071', 'AP 1188072', 'AP 1188070']",Complete,2021-04-29,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspaurMinimDraft_4_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspauran1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspauran1,Aspauran1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspaurMinimDraft_4_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspauran1_GeneCatalog_20210409.gff3.gz
Aspergillus aureolatus CBS 190.65 Annotated Minimal Draft,Aspaurlat1,https://mycocosm.jgi.doe.gov/Aspaurlat1,1097486,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspaurMinimDraft_FD,AspaurMinimDraft_FD,"['SP 1097727', 'SP 1097726', 'AP 1097489', 'AP 1097488', 'AP 1097487']",Complete,2017-04-24,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspaurMinimDraft_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspaurlat1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspaurlat1,Aspaurlat1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspaurMinimDraft_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspaurlat1_GeneCatalog_20170429.gff3.gz
Aspergillus aureoluteus CBS 105.55 Annotated Minimal Draft,Aspaurlut1,https://mycocosm.jgi.doe.gov/Aspaurlut1,1097522,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspaurMinimDraft_2_FD,AspaurMinimDraft_2_FD,"['SP 1097744', 'SP 1097745', 'AP 1097523', 'AP 1097524', 'AP 1097525']",Complete,2017-04-24,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspaurMinimDraft_2_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspaurlut1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspaurlut1,Aspaurlut1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspaurMinimDraft_2_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspaurlut1_GeneCatalog_20170407.gff3.gz
Aspergillus aureoterreus CBS 503.65 Annotated Standard Draft,Aspaur1,https://mycocosm.jgi.doe.gov/Aspaur1,1052446,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspaurStandDraft_FD,AspaurStandDraft_FD,"['SP 1052448', 'SP 1052447', 'AP 1052451', 'AP 1052450', 'AP 1052449']",Complete,2016-10-13,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspaurStandDraft_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspaur1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspaur1,Aspaur1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspaurStandDraft_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspaur1_GeneCatalog_20160910.gff3.gz
Aspergillus austroafricanus IBT 32289 Annotated Minimal Draft,Aspaus1,https://mycocosm.jgi.doe.gov/Aspaus1,1188037,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspastMinimDraft_FD,AspastMinimDraft_FD,"['SP 1188295', 'SP 1188296', 'AP 1188039', 'AP 1188040', 'AP 1188038']",Complete,2021-08-02,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspastMinimDraft_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspaus1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspaus1,Aspaus1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspastMinimDraft_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspaus1_GeneCatalog_20210715.gff3.gz
Aspergillus avenaceus IBT 18842 Annotated Standard Draft,Aspave1,https://mycocosm.jgi.doe.gov/Aspave1,1052236,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspaveStandDraft_FD,AspaveStandDraft_FD,"['SP 1052238', 'SP 1052237', 'AP 1052241', 'AP 1052240', 'AP 1052239']",Complete,2016-10-13,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspaveStandDraft_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspave1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspave1,Aspave1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspaveStandDraft_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspave1_GeneCatalog_20160920.gff3.gz
Aspergillus bertholletius IBT 29228 Annotated Standard Draft,Aspber1,https://mycocosm.jgi.doe.gov/Aspber1,1052242,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspberStandDraft_FD,AspberStandDraft_FD,"['SP 1052244', 'SP 1052243', 'AP 1052246', 'AP 1052247', 'AP 1052245']",Complete,2016-10-13,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspberStandDraft_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspber1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspber1,Aspber1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspberStandDraft_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspber1_GeneCatalog_20160916.gff3.gz
Aspergillus biplanus CBS 468.65 Annotated Minimal Draft,Aspbip1,https://mycocosm.jgi.doe.gov/Aspbip1,1097386,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspbipMinimDraft_FD,AspbipMinimDraft_FD,"['SP 1097677', 'SP 1097676', 'AP 1097388', 'AP 1097387', 'AP 1097389']",Complete,2017-04-24,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspbipMinimDraft_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspbip1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspbip1,Aspbip1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspbipMinimDraft_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspbip1_GeneCatalog_20170407.gff3.gz
Aspergillus bisporus CBS 707.71 Annotated Standard Draft,Aspbisp1,https://mycocosm.jgi.doe.gov/Aspbisp1,1052008,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspbisStandDraft_FD,AspbisStandDraft_FD,"['SP 1052010', 'SP 1052009', 'AP 1052011', 'AP 1052013', 'AP 1052012']",Complete,2016-03-15,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspbisStandDraft_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspbisp1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspbisp1,Aspbisp1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspbisStandDraft_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspbisp1_GeneCatalog_20160414.gff3.gz
Aspergillus botucatensis CBS 114221 Annotated Minimal Draft,Aspbot1,https://mycocosm.jgi.doe.gov/Aspbot1,1097622,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspbotMinimDraft_FD,AspbotMinimDraft_FD,"['SP 1097794', 'SP 1097795', 'AP 1097623', 'AP 1097624', 'AP 1097625']",Complete,2017-04-24,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspbotMinimDraft_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspbot1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspbot1,Aspbot1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspbotMinimDraft_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspbot1_GeneCatalog_20170407.gff3.gz
Aspergillus brevijanus CBS 111.46 Annotated Standard Draft,Aspbrev1,https://mycocosm.jgi.doe.gov/Aspbrev1,1052452,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspbreStandDraft_FD,AspbreStandDraft_FD,"['SP 1052453', 'SP 1052454', 'AP 1052457', 'AP 1052456', 'AP 1052455']",Complete,2016-06-02,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspbreStandDraft_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspbrev1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspbrev1,Aspbrev1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspbreStandDraft_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspbrev1_GeneCatalog_20160412.gff3.gz
Aspergillus brevipes CBS 118.53 Annotated Minimal Draft,Aspbre1,https://mycocosm.jgi.doe.gov/Aspbre1,1097526,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspbreMinimDraft_FD,AspbreMinimDraft_FD,"['SP 1097747', 'SP 1097746', 'AP 1097529', 'AP 1097528', 'AP 1097527']",Complete,2017-04-24,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspbreMinimDraft_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspbre1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspbre1,Aspbre1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspbreMinimDraft_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspbre1_GeneCatalog_20170407.gff3.gz
Aspergillus brevistipitatus CBS 135454 Annotated Minimal Draft,Aspbrevi1,https://mycocosm.jgi.doe.gov/Aspbrevi1,1187993,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspbreMinimDraft_2_FD,AspbreMinimDraft_2_FD,"['SP 1188273', 'SP 1188274', 'AP 1187996', 'AP 1187995', 'AP 1187994']",Complete,2021-02-26,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspbreMinimDraft_2_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspbrevi1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspbrevi1,Aspbrevi1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspbreMinimDraft_2_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspbrevi1_GeneCatalog_20210201.gff3.gz
Aspergillus caelatus CBS 763.97 Annotated Standard Draft,Aspcae1,https://mycocosm.jgi.doe.gov/Aspcae1,1052248,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspcaeStandDraft_FD,AspcaeStandDraft_FD,"['SP 1052249', 'SP 1052250', 'AP 1052252', 'AP 1052253', 'AP 1052251']",Complete,2016-10-13,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspcaeStandDraft_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspcae1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspcae1,Aspcae1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspcaeStandDraft_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspcae1_GeneCatalog_20160916.gff3.gz
Aspergillus caespitosus CBS 103.45 Annotated Minimal Draft,Aspcaesp1,https://mycocosm.jgi.doe.gov/Aspcaesp1,1097490,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspcaeMinimDraft_FD,AspcaeMinimDraft_FD,"['SP 1097728', 'SP 1097729', 'AP 1097491', 'AP 1097492', 'AP 1097493']",Complete,2021-10-11,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspcaeMinimDraft_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspcaesp1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspcaesp1,Aspcaesp1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspcaeMinimDraft_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspcaesp1_GeneCatalog_20210907.gff3.gz
Aspergillus calidoustus CBS 113228 Annotated Minimal Draft,Aspcali1,https://mycocosm.jgi.doe.gov/Aspcali1,1097406,https://genome.jgi.doe.gov/portal/pages/projectStatus.jsf?db=AspcalMinimDraft_FD,AspcalMinimDraft_FD,"['SP 1097686', 'SP 1097687', 'AP 1097409', 'AP 1097408', 'AP 1097407']",Complete,2021-02-26,Scott E. Baker,scott.baker@pnnl.gov,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspcalMinimDraft_FD/Assembly/Mycocosm/Assembly/Assembled_scaffolds__masked_/Aspcali1_AssemblyScaffolds_Repeatmasked.fasta.gz,Aspcali1,Aspcali1,/datadrive/matin_other_projects/jgi_aspergillus/data/raw/AspcalMinimDraft_FD/Annotation/Mycocosm/Annotation/Filtered_Models___best__/Genes/Aspcali1_GeneCatalog_20210201.gff3.gz
